"gender, ['female' 'male']","race_ethnicity, ['group B' 'group C' 'group A' 'group D' 'group E']","parental_level_of_education, [""bachelor's degree"" 'some college' ""master's degree"" ""associate's degree""
 'high school' 'some high school']","lunch, ['standard' 'free/reduced']","test_preparation_course, ['none' 'completed']",reading_score,writing_score
[1. 0.],[0. 0. 0. 1. 0.],[0. 0. 0. 0. 1. 0.],[1. 0.],[0. 1.],-0.1486340264141635,-0.39860265783906956
[1. 0.],[0. 0. 0. 1. 0.],[0. 1. 0. 0. 0. 0.],[0. 1.],[0. 1.],-0.1486340264141635,-0.39860265783906956
[0. 1.],[0. 1. 0. 0. 0.],[0. 0. 0. 0. 1. 0.],[0. 1.],[0. 1.],-0.1486340264141635,-0.06939663055209448
[0. 1.],[0. 0. 0. 1. 0.],[0. 1. 0. 0. 0. 0.],[0. 1.],[1. 0.],0.33105162821891443,0.3914918076496706
[1. 0.],[0. 0. 0. 1. 0.],[1. 0. 0. 0. 0. 0.],[0. 1.],[0. 1.],1.4960025037563893,1.3791098895105958
[0. 1.],[0. 1. 0. 0. 0.],[0. 0. 1. 0. 0. 0.],[0. 1.],[1. 0.],-1.7247440344942766,-1.3862207396999948
[0. 1.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 1. 0.],[0. 1.],[1. 0.],1.153369893304191,1.444951094967991
[1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 1. 0.],[0. 1.],[0. 1.],-0.1486340264141635,0.25980939673488057
[1. 0.],[0. 0. 0. 1. 0.],[0. 0. 0. 1. 0. 0.],[0. 1.],[0. 1.],2.112741202570347,2.103363149541941
[0. 1.],[0. 0. 0. 0. 1.],[1. 0. 0. 0. 0. 0.],[0. 1.],[1. 0.],-0.4227401147759223,-0.2669202469242795
[1. 0.],[0. 1. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],[1. 0.],[0. 1.],0.4681046723997938,0.12812698582009055
[1. 0.],[0. 1. 0. 0. 0.],[0. 0. 0. 0. 0. 1.],[0. 1.],[0. 1.],-0.35421359268548264,0.25980939673488057
[1. 0.],[0. 0. 0. 1. 0.],[1. 0. 0. 0. 0. 0.],[1. 0.],[1. 0.],1.35894945957551,1.9716807386271509
[0. 1.],[0. 0. 1. 0. 0.],[0. 0. 1. 0. 0. 0.],[0. 1.],[0. 1.],-0.97095229149944,-1.2545383287852048
[0. 1.],[1. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],[0. 1.],[0. 1.],-1.1080053356803194,-1.3862207396999948
[1. 0.],[0. 0. 0. 1. 0.],[0. 0. 0. 0. 1. 0.],[0. 1.],[0. 1.],-0.7653727252281208,-0.9253323014982296
[1. 0.],[0. 0. 0. 0. 1.],[0. 1. 0. 0. 0. 0.],[0. 1.],[1. 0.],2.112741202570347,2.103363149541941
[0. 1.],[0. 0. 1. 0. 0.],[0. 0. 1. 0. 0. 0.],[0. 1.],[0. 1.],0.5366311944902336,0.3914918076496706
[1. 0.],[0. 1. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[1. 0.],[0. 1.],1.084843371213751,0.9182214513088307
[1. 0.],[0. 0. 0. 1. 0.],[0. 1. 0. 0. 0. 0.],[0. 1.],[0. 1.],0.8792638049424321,0.7206978349366456
[1. 0.],[0. 0. 0. 1. 0.],[0. 0. 0. 0. 0. 1.],[0. 1.],[0. 1.],-0.4227401147759223,-0.46444386329646453
[1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 1. 0.],[0. 1.],[0. 1.],-0.0115809822332841,-0.2010790414668845
[1. 0.],[0. 0. 1. 0. 0.],[0. 1. 0. 0. 0. 0.],[0. 1.],[1. 0.],1.5645290258468292,1.3791098895105958
[0. 1.],[0. 1. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],[0. 1.],[1. 0.],1.35894945957551,1.5766335058827807
[1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 1. 0.],[0. 1.],[1. 0.],1.6330555479372688,1.6424747113401759
[0. 1.],[0. 0. 0. 1. 0.],[0. 0. 1. 0. 0. 0.],[1. 0.],[0. 1.],-0.8338992473185606,-0.7936498905834396
[0. 1.],[0. 0. 0. 0. 1.],[0. 0. 0. 0. 1. 0.],[0. 1.],[0. 1.],0.7422107607615527,0.3256506021922756
[1. 0.],[0. 1. 0. 0. 0.],[0. 0. 1. 0. 0. 0.],[0. 1.],[0. 1.],1.7701085921181483,1.1815862731384108
[0. 1.],[0. 1. 0. 0. 0.],[0. 0. 0. 0. 0. 1.],[0. 1.],[0. 1.],-0.08010750432372381,-0.06939663055209448
[0. 1.],[0. 0. 0. 1. 0.],[0. 0. 0. 0. 1. 0.],[0. 1.],[1. 0.],0.5366311944902336,0.3914918076496706
[0. 1.],[0. 0. 0. 1. 0.],[0. 0. 0. 1. 0. 0.],[0. 1.],[0. 1.],0.8792638049424321,0.3914918076496706
[1. 0.],[1. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[0. 1.],[0. 1.],-1.3821114240420782,-1.1228559178704147
[0. 1.],[0. 0. 0. 1. 0.],[0. 0. 0. 1. 0. 0.],[0. 1.],[0. 1.],1.0163168491233114,0.9182214513088307
[0. 1.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 0. 1.],[1. 0.],[1. 0.],-2.2044296891273545,-1.8471091779017599
[0. 1.],[0. 0. 0. 0. 1.],[0. 0. 0. 0. 1. 0.],[1. 0.],[1. 0.],0.33105162821891443,0.12812698582009055
[1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 1. 0.],[0. 1.],[1. 0.],0.8107372828519923,1.0499038622236208
[0. 1.],[0. 0. 0. 1. 0.],[0. 1. 0. 0. 0. 0.],[1. 0.],[1. 0.],0.6736842386711129,0.45733301310706564
[0. 1.],[0. 0. 1. 0. 0.],[0. 1. 0. 0. 0. 0.],[0. 1.],[0. 1.],-0.97095229149944,-1.3203795342425997
[0. 1.],[0. 1. 0. 0. 0.],[0. 0. 0. 0. 0. 1.],[0. 1.],[1. 0.],-1.0394788135898796,-1.7812679724443647
[0. 1.],[0. 0. 0. 0. 1.],[0. 0. 1. 0. 0. 0.],[0. 1.],[0. 1.],-0.97095229149944,-0.7936498905834396
[1. 0.],[0. 0. 1. 0. 0.],[1. 0. 0. 0. 0. 0.],[0. 1.],[0. 1.],-0.2171605485046032,-0.06939663055209448
[0. 1.],[0. 0. 0. 1. 0.],[0. 0. 0. 0. 1. 0.],[0. 1.],[1. 0.],-0.5597931589568017,0.062285780362695546
[1. 0.],[0. 0. 0. 1. 0.],[0. 0. 0. 0. 0. 1.],[0. 1.],[0. 1.],0.19399858403803502,0.19396819127748557
[1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 1. 0.],[1. 0.],[0. 1.],-0.491266636866362,-0.2669202469242795
[1. 0.],[0. 0. 0. 0. 1.],[0. 0. 0. 0. 1. 0.],[1. 0.],[1. 0.],-0.97095229149944,-0.9253323014982296
[0. 1.],[1. 0. 0. 0. 0.],[0. 0. 1. 0. 0. 0.],[0. 1.],[0. 1.],-1.7932705565847165,-1.3862207396999948
[0. 1.],[0. 0. 0. 1. 0.],[0. 0. 0. 0. 1. 0.],[0. 1.],[0. 1.],0.26252510612847474,0.6548566294792506
[1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 1. 0.],[1. 0.],[0. 1.],-2.067376644946475,-2.307997616103525
[0. 1.],[0. 1. 0. 0. 0.],[0. 0. 0. 0. 0. 1.],[0. 1.],[0. 1.],1.0163168491233114,0.45733301310706564
[0. 1.],[0. 0. 1. 0. 0.],[1. 0. 0. 0. 0. 0.],[1. 0.],[0. 1.],-0.08010750432372381,-0.1352378360094895
[1. 0.],[0. 0. 0. 1. 0.],[0. 1. 0. 0. 0. 0.],[0. 1.],[1. 0.],0.3995781503093541,0.8523802458514357
[0. 1.],[0. 0. 0. 0. 1.],[1. 0. 0. 0. 0. 0.],[1. 0.],[1. 0.],2.112741202570347,1.6424747113401759
[0. 1.],[1. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 1.],[0. 1.],[1. 0.],-0.1486340264141635,0.062285780362695546
[0. 1.],[1. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],[0. 1.],[0. 1.],-0.1486340264141635,-0.0035554250946994654
[1. 0.],[0. 1. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],[0. 1.],[1. 0.],0.05694553985715561,-0.1352378360094895
[0. 1.],[0. 0. 0. 1. 0.],[0. 1. 0. 0. 0. 0.],[0. 1.],[0. 1.],-1.3821114240420782,-1.3862207396999948
[0. 1.],[0. 0. 0. 1. 0.],[0. 0. 0. 0. 0. 1.],[0. 1.],[0. 1.],-0.1486340264141635,-0.46444386329646453
[1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 1. 0.],[0. 1.],[1. 0.],1.35894945957551,1.3132686840532009
[1. 0.],[0. 0. 0. 0. 1.],[0. 0. 1. 0. 0. 0.],[1. 0.],[1. 0.],0.33105162821891443,0.6548566294792506
[0. 1.],[0. 1. 0. 0. 0.],[0. 0. 0. 0. 1. 0.],[1. 0.],[0. 1.],-0.6283196810472415,-0.5302850687538596
[1. 0.],[0. 1. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],[0. 1.],[1. 0.],1.153369893304191,1.2474274785958057
[0. 1.],[0. 0. 0. 1. 0.],[1. 0. 0. 0. 0. 0.],[1. 0.],[0. 1.],-0.491266636866362,-0.2669202469242795
[0. 1.],[0. 1. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],[1. 0.],[1. 0.],0.6051577165806732,0.3914918076496706
[1. 0.],[0. 0. 0. 0. 1.],[0. 0. 0. 0. 1. 0.],[1. 0.],[1. 0.],1.2904229374850702,1.1157450676810157
[0. 1.],[0. 1. 0. 0. 0.],[0. 0. 0. 1. 0. 0.],[1. 0.],[0. 1.],-1.1080053356803194,-1.0570147124130196
[0. 1.],[0. 0. 1. 0. 0.],[0. 0. 1. 0. 0. 0.],[0. 1.],[0. 1.],-1.1080053356803194,-1.2545383287852048
[1. 0.],[0. 0. 0. 0. 1.],[0. 0. 0. 1. 0. 0.],[0. 1.],[0. 1.],1.5645290258468292,1.5107923004253858
[1. 0.],[0. 0. 1. 0. 0.],[0. 1. 0. 0. 0. 0.],[0. 1.],[1. 0.],2.112741202570347,2.103363149541941
[0. 1.],[0. 0. 1. 0. 0.],[0. 0. 1. 0. 0. 0.],[1. 0.],[1. 0.],-1.2450583798611987,-1.1228559178704147
[1. 0.],[0. 1. 0. 0. 0.],[0. 0. 0. 1. 0. 0.],[1. 0.],[1. 0.],0.4681046723997938,0.6548566294792506
[1. 0.],[0. 1. 0. 0. 0.],[0. 0. 1. 0. 0. 0.],[0. 1.],[1. 0.],0.9477903270328718,0.6548566294792506
[1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 1. 0.],[1. 0.],[1. 0.],0.3995781503093541,0.12812698582009055
[0. 1.],[1. 0. 0. 0. 0.],[0. 0. 1. 0. 0. 0.],[0. 1.],[1. 0.],0.26252510612847474,0.3914918076496706
[0. 1.],[0. 0. 0. 0. 1.],[0. 0. 0. 0. 0. 1.],[0. 1.],[0. 1.],1.2904229374850702,0.6548566294792506
[1. 0.],[0. 0. 0. 1. 0.],[0. 0. 0. 0. 1. 0.],[0. 1.],[0. 1.],1.153369893304191,0.8523802458514357
[1. 0.],[0. 0. 1. 0. 0.],[1. 0. 0. 0. 0. 0.],[0. 1.],[0. 1.],-0.1486340264141635,0.12812698582009055
[1. 0.],[0. 0. 1. 0. 0.],[0. 1. 0. 0. 0. 0.],[1. 0.],[1. 0.],-1.2450583798611987,-0.9253323014982296
[1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 1. 0. 0.],[0. 1.],[1. 0.],1.4960025037563893,1.2474274785958057
[1. 0.],[0. 1. 0. 0. 0.],[0. 0. 1. 0. 0. 0.],[1. 0.],[1. 0.],-1.0394788135898796,-0.6619674796686495
[1. 0.],[0. 0. 1. 0. 0.],[1. 0. 0. 0. 0. 0.],[0. 1.],[1. 0.],0.5366311944902336,0.5890154240218557
[1. 0.],[0. 1. 0. 0. 0.],[0. 0. 0. 1. 0. 0.],[1. 0.],[1. 0.],0.05694553985715561,-0.39860265783906956
[1. 0.],[0. 0. 0. 1. 0.],[0. 0. 0. 0. 0. 1.],[0. 1.],[1. 0.],2.112741202570347,2.103363149541941
[0. 1.],[0. 0. 1. 0. 0.],[0. 0. 0. 1. 0. 0.],[1. 0.],[1. 0.],-0.08010750432372381,0.45733301310706564
[1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 1. 0.],[1. 0.],[0. 1.],-0.35421359268548264,-0.1352378360094895
[1. 0.],[0. 0. 0. 0. 1.],[0. 0. 1. 0. 0. 0.],[0. 1.],[0. 1.],-1.3135849019516386,-1.3862207396999948
